flightNumber,date,passengers,maxCapacity
DL9012,2013-01-22,218,294
WN789,2013-01-22,130,281
AS4567,2013-01-22,231,208
AA1234,2013-01-23,117,258
UA5678,2013-01-23,239,223
DL9012,2013-01-23,233,271
WN789,2013-01-23,241,239
AS4567,2013-01-23,122,290
AA1234,2013-01-24,167,236
UA5678,2013-01-24,236,289
DL9012,2013-01-24,176,227
WN789,2013-01-24,224,231
AS4567,2013-01-24,209,226
AA1234,2013-01-25,138,270
UA5678,2013-01-25,182,277
DL9012,2013-01-25,247,230
WN789,2013-01-25,162,279
AS4567,2013-01-25,171,288
AA1234,2013-01-26,110,203
UA5678,2013-01-26,229,286
DL9012,2013-01-26,154,229
WN789,2013-01-26,225,227
AS4567,2013-01-26,103,222
AA1234,2013-01-27,207,241
UA5678,2013-01-27,102,201
DL9012,2013-01-27,188,218
WN789,2013-01-27,139,268
AS4567,2013-01-27,186,294
AA1234,2013-01-28,120,287
UA5678,2013-01-28,190,262
DL9012,2013-01-28,133,217
WN789,2013-01-28,234,253
AS4567,2013-01-28,177,206
AA1234,2013-01-29,217,285
UA5678,2013-01-29,194,221
DL9012,2013-01-29,110,242
WN789,2013-01-29,214,212
AS4567,2013-01-29,238,287
AA1234,2013-01-30,224,249
UA5678,2013-01-30,219,256
DL9012,2013-01-30,242,204
WN789,2013-01-30,206,214
AS4567,2013-01-30,136,281
AA1234,2013-01-31,111,242
UA5678,2013-01-31,226,236
DL9012,2013-01-31,194,266
WN789,2013-01-31,148,258
AS4567,2013-01-31,192,201
AA1234,2013-02-01,245,281
UA5678,2013-02-01,206,275
DL9012,2013-02-01,107,293
WN789,2013-02-01,242,209
AS4567,2013-02-01,228,267
AA1234,2013-02-02,142,300
UA5678,2013-02-02,183,201
DL9012,2013-02-02,110,251
WN789,2013-02-02,159,242
AS4567,2013-02-02,159,207
AA1234,2013-02-03,155,220
UA5678,2013-02-03,114,217
DL9012,2013-02-03,149,281
WN789,2013-02-03,232,274
AS4567,2013-02-03,118,215
AA1234,2013-02-04,200,289
UA5678,2013-02-04,214,237
DL9012,2013-02-04,205,239
WN789,2013-02-04,112,214
AS4567,2013-02-04,180,229
AA1234,2013-02-05,175,289
UA5678,2013-02-05,137,293
DL9012,2013-02-05,100,239
WN789,2013-02-05,135,212
AS4567,2013-02-05,177,211
AA1234,2013-02-06,193,216
UA5678,2013-02-06,208,287
DL9012,2013-02-06,236,277
WN789,2013-02-06,238,298
AS4567,2013-02-06,134,226
AA1234,2013-02-07,246,260
UA5678,2013-02-07,198,253
DL9012,2013-02-07,165,218
WN789,2013-02-07,155,219
AS4567,2013-02-07,121,234
AA1234,2013-02-08,206,249
UA5678,2013-02-08,167,210
DL9012,2013-02-08,237,278
WN789,2013-02-08,109,274
AS4567,2013-02-08,223,274
AA1234,2013-02-09,140,289
UA5678,2013-02-09,107,272
DL9012,2013-02-09,110,238
WN789,2013-02-09,102,203
AS4567,2013-02-09,245,209
AA1234,2013-02-10,103,238
UA5678,2013-02-10,156,256
DL9012,2013-02-10,189,273
WN789,2013-02-10,117,201
AS4567,2013-02-10,179,299
AA1234,2013-02-11,119,231
UA5678,2013-02-11,178,230
DL9012,2013-02-11,101,276
WN789,2013-02-11,175,276
AS4567,2013-02-11,229,279
AA1234,2013-02-12,122,283
UA5678,2013-02-12,216,226
DL9012,2013-02-12,221,251
WN789,2013-02-12,177,247
AS4567,2013-02-12,139,272
AA1234,2013-02-13,211,258
UA5678,2013-02-13,174,269
DL9012,2013-02-13,179,244
WN789,2013-02-13,168,227
AS4567,2013-02-13,151,294
AA1234,2013-02-14,232,247
UA5678,2013-02-14,135,243
DL9012,2013-02-14,208,289
WN789,2013-02-14,245,205
AS4567,2013-02-14,141,244
AA1234,2013-02-15,129,286
UA5678,2013-02-15,229,246
DL9012,2013-02-15,250,239
WN789,2013-02-15,168,224
AS4567,2013-02-15,172,203
AA1234,2013-02-16,174,248
UA5678,2013-02-16,130,230
DL9012,2013-02-16,151,232
WN789,2013-02-16,174,261
AS4567,2013-02-16,228,206
AA1234,2013-02-17,202,229
UA5678,2013-02-17,116,238
DL9012,2013-02-17,231,212
WN789,2013-02-17,224,257
AS4567,2013-02-17,226,222
AA1234,2013-02-18,139,245
UA5678,2013-02-18,156,252
DL9012,2013-02-18,170,288
WN789,2013-02-18,246,232
AS4567,2013-02-18,246,233
AA1234,2013-02-19,167,200
UA5678,2013-02-19,154,286
DL9012,2013-02-19,163,278
WN789,2013-02-19,118,211
AS4567,2013-02-19,219,229
AA1234,2013-02-20,234,236
UA5678,2013-02-20,103,264
DL9012,2013-02-20,187,285
WN789,2013-02-20,131,255
AS4567,2013-02-20,121,258
AA1234,2013-02-21,192,221
UA5678,2013-02-21,121,299
DL9012,2013-02-21,142,235
WN789,2013-02-21,126,284
AS4567,2013-02-21,106,221
AA1234,2013-02-22,249,208
UA5678,2013-02-22,233,300
DL9012,2013-02-22,148,280
WN789,2013-02-22,204,252
AS4567,2013-02-22,221,218
AA1234,2013-02-23,107,260
UA5678,2013-02-23,193,289
DL9012,2013-02-23,199,210
WN789,2013-02-23,175,216
AS4567,2013-02-23,120,281
AA1234,2013-02-24,187,231
UA5678,2013-02-24,223,207
DL9012,2013-02-24,150,206
WN789,2013-02-24,117,247
AS4567,2013-02-24,155,270
AA1234,2013-02-25,206,276
UA5678,2013-02-25,190,290
DL9012,2013-02-25,137,288
WN789,2013-02-25,215,256
AS4567,2013-02-25,115,207
AA1234,2013-02-26,145,216
UA5678,2013-02-26,219,223
DL9012,2013-02-26,202,284
WN789,2013-02-26,230,277
AS4567,2013-02-26,210,221
AA1234,2013-02-27,112,256
UA5678,2013-02-27,164,220
DL9012,2013-02-27,139,205
WN789,2013-02-27,237,243
AS4567,2013-02-27,192,297
AA1234,2013-02-28,173,265
UA5678,2013-02-28,109,265
DL9012,2013-02-28,195,298
WN789,2013-02-28,187,293
AS4567,2013-02-28,210,261
AA1234,2013-03-01,217,244
UA5678,2013-03-01,218,233
DL9012,2013-03-01,167,299
WN789,2013-03-01,114,225
AS4567,2013-03-01,106,235
AA1234,2013-03-02,148,285
UA5678,2013-03-02,209,208
DL9012,2013-03-02,233,275
WN789,2013-03-02,113,238
AS4567,2013-03-02,177,216
AA1234,2013-03-03,199,267
UA5678,2013-03-03,238,220
DL9012,2013-03-03,216,255
WN789,2013-03-03,155,265
AS4567,2013-03-03,239,296
AA1234,2013-03-04,207,248
UA5678,2013-03-04,241,206
DL9012,2013-03-04,218,232
WN789,2013-03-04,206,296
AS4567,2013-03-04,121,297
AA1234,2013-03-05,182,261
UA5678,2013-03-05,103,235
DL9012,2013-03-05,104,269
WN789,2013-03-05,112,200
AS4567,2013-03-05,192,277
AA1234,2013-03-06,188,273
UA5678,2013-03-06,238,217
DL9012,2013-03-06,206,268
WN789,2013-03-06,213,253
AS4567,2013-03-06,103,261
AA1234,2013-03-07,228,242
UA5678,2013-03-07,194,244
DL9012,2013-03-07,109,224
WN789,2013-03-07,233,244
AS4567,2013-03-07,222,258
AA1234,2013-03-08,239,216
UA5678,2013-03-08,209,249
DL9012,2013-03-08,188,300
WN789,2013-03-08,119,211
AS4567,2013-03-08,199,298
AA1234,2013-03-09,219,262
UA5678,2013-03-09,114,215
DL9012,2013-03-09,176,243
WN789,2013-03-09,249,234
AS4567,2013-03-09,128,267
AA1234,2013-03-10,117,271
UA5678,2013-03-10,210,257
DL9012,2013-03-10,170,219
WN789,2013-03-10,237,228
AS4567,2013-03-10,208,209
AA1234,2013-03-11,137,232
UA5678,2013-03-11,170,281
DL9012,2013-03-11,161,272
WN789,2013-03-11,175,254
AS4567,2013-03-11,148,225
AA1234,2013-03-12,189,274
UA5678,2013-03-12,213,228
DL9012,2013-03-12,214,272
WN789,2013-03-12,117,281
AS4567,2013-03-12,121,239
AA1234,2013-03-13,117,265
UA5678,2013-03-13,206,290
DL9012,2013-03-13,241,237
WN789,2013-03-13,126,220
AS4567,2013-03-13,184,233
AA1234,2013-03-14,154,255
UA5678,2013-03-14,154,205
DL9012,2013-03-14,186,300
WN789,2013-03-14,229,270
AS4567,2013-03-14,167,277
AA1234,2013-03-15,103,210
UA5678,2013-03-15,118,224
DL9012,2013-03-15,173,283
WN789,2013-03-15,211,240
AS4567,2013-03-15,219,205
AA1234,2013-03-16,151,287
UA5678,2013-03-16,181,239
DL9012,2013-03-16,102,282
WN789,2013-03-16,189,296
AS4567,2013-03-16,186,202
AA1234,2013-03-17,189,232
UA5678,2013-03-17,208,277
DL9012,2013-03-17,238,251
WN789,2013-03-17,231,224
AS4567,2013-03-17,193,287
AA1234,2013-03-18,125,241
UA5678,2013-03-18,110,211
DL9012,2013-03-18,182,234
WN789,2013-03-18,152,208
AS4567,2013-03-18,158,287
AA1234,2013-03-19,130,240
UA5678,2013-03-19,173,277
DL9012,2013-03-19,211,223
WN789,2013-03-19,221,259
AS4567,2013-03-19,165,295
AA1234,2013-03-20,159,239
UA5678,2013-03-20,245,258
DL9012,2013-03-20,174,271
WN789,2013-03-20,122,281
AS4567,2013-03-20,119,200
AA1234,2013-03-21,114,208
UA5678,2013-03-21,219,247
DL9012,2013-03-21,156,270
WN789,2013-03-21,210,274
AS4567,2013-03-21,118,280
AA1234,2013-03-22,151,234
UA5678,2013-03-22,224,255
DL9012,2013-03-22,248,258
WN789,2013-03-22,225,262
AS4567,2013-03-22,173,263
AA1234,2013-03-23,130,261
UA5678,2013-03-23,197,211
DL9012,2013-03-23,158,269
WN789,2013-03-23,232,258
AS4567,2013-03-23,221,226
AA1234,2013-03-24,179,267
UA5678,2013-03-24,219,271
DL9012,2013-03-24,196,214
WN789,2013-03-24,188,244
AS4567,2013-03-24,209,295
AA1234,2013-03-25,148,217
UA5678,2013-03-25,181,240
DL9012,2013-03-25,130,215
WN789,2013-03-25,161,229
AS4567,2013-03-25,222,222
AA1234,2013-03-26,248,251
UA5678,2013-03-26,122,273
DL9012,2013-03-26,119,268
WN789,2013-03-26,124,272
AS4567,2013-03-26,226,218
AA1234,2013-03-27,180,275
UA5678,2013-03-27,123,234
DL9012,2013-03-27,214,240
WN789,2013-03-27,204,281
AS4567,2013-03-27,158,262
AA1234,2013-03-28,174,239
UA5678,2013-03-28,142,289
DL9012,2013-03-28,173,292
WN789,2013-03-28,119,261
AS4567,2013-03-28,245,232
AA1234,2013-03-29,228,280
UA5678,2013-03-29,243,285
DL9012,2013-03-29,245,214
WN789,2013-03-29,127,264
AS4567,2013-03-29,182,273
AA1234,2013-03-30,150,262
UA5678,2013-03-30,151,259
DL9012,2013-03-30,163,231
WN789,2013-03-30,152,252
AS4567,2013-03-30,178,248
AA1234,2013-03-31,247,271
UA5678,2013-03-31,158,283
DL9012,2013-03-31,128,201
WN789,2013-03-31,128,216
AS4567,2013-03-31,206,264
AA1234,2013-04-01,103,289
UA5678,2013-04-01,163,207
DL9012,2013-04-01,191,285
WN789,2013-04-01,168,276
AS4567,2013-04-01,227,219
AA1234,2013-04-02,145,256
UA5678,2013-04-02,235,300
DL9012,2013-04-02,159,249
WN789,2013-04-02,188,223
AS4567,2013-04-02,229,251
AA1234,2013-04-03,217,241
UA5678,2013-04-03,158,279
DL9012,2013-04-03,160,260
WN789,2013-04-03,168,212
AS4567,2013-04-03,249,263
AA1234,2013-04-04,175,295
UA5678,2013-04-04,155,223
DL9012,2013-04-04,159,287
WN789,2013-04-04,249,295
AS4567,2013-04-04,143,229
AA1234,2013-04-05,142,259
UA5678,2013-04-05,115,200
DL9012,2013-04-05,126,284
WN789,2013-04-05,248,205
AS4567,2013-04-05,160,220
AA1234,2013-04-06,171,222
UA5678,2013-04-06,117,218
DL9012,2013-04-06,203,205
WN789,2013-04-06,161,209
AS4567,2013-04-06,198,254
AA1234,2013-04-07,101,249
UA5678,2013-04-07,169,211
DL9012,2013-04-07,190,206
WN789,2013-04-07,246,288
AS4567,2013-04-07,158,284
AA1234,2013-04-08,226,270
UA5678,2013-04-08,221,244
DL9012,2013-04-08,121,204
WN789,2013-04-08,123,223
AS4567,2013-04-08,239,241
AA1234,2013-04-09,130,293
UA5678,2013-04-09,203,223
DL9012,2013-04-09,211,256
WN789,2013-04-09,220,237
AS4567,2013-04-09,117,276
AA1234,2013-04-10,110,285
UA5678,2013-04-10,152,233
DL9012,2013-04-10,243,245
WN789,2013-04-10,101,219
AS4567,2013-04-10,188,284
AA1234,2013-04-11,185,237
UA5678,2013-04-11,104,248
DL9012,2013-04-11,153,240
WN789,2013-04-11,154,244
AS4567,2013-04-11,198,269
AA1234,2013-04-12,171,284
UA5678,2013-04-12,172,243
DL9012,2013-04-12,130,228
WN789,2013-04-12,167,272
AS4567,2013-04-12,114,253
AA1234,2013-04-13,188,284
UA5678,2013-04-13,183,277
DL9012,2013-04-13,231,297
WN789,2013-04-13,126,229
AS4567,2013-04-13,111,217
AA1234,2013-04-14,112,291
UA5678,2013-04-14,217,284
DL9012,2013-04-14,108,222
WN789,2013-04-14,163,239
AS4567,2013-04-14,136,224
AA1234,2013-04-15,245,228
UA5678,2013-04-15,217,251
DL9012,2013-04-15,155,261
WN789,2013-04-15,192,238
AS4567,2013-04-15,244,271
AA1234,2013-04-16,114,227
UA5678,2013-04-16,139,282
DL9012,2013-04-16,156,278
WN789,2013-04-16,106,263
AS4567,2013-04-16,102,262
AA1234,2013-04-17,234,284
UA5678,2013-04-17,174,234
DL9012,2013-04-17,147,205
WN789,2013-04-17,198,254
AS4567,2013-04-17,234,245
AA1234,2013-04-18,139,210
UA5678,2013-04-18,245,226
DL9012,2013-04-18,161,221
WN789,2013-04-18,162,300
AS4567,2013-04-18,241,262
AA1234,2013-04-19,128,256
UA5678,2013-04-19,101,282
DL9012,2013-04-19,159,250
WN789,2013-04-19,147,291
AS4567,2013-04-19,129,271
AA1234,2013-04-20,120,266
UA5678,2013-04-20,182,211
DL9012,2013-04-20,231,206
WN789,2013-04-20,228,262
AS4567,2013-04-20,178,243
AA1234,2013-04-21,117,224
UA5678,2013-04-21,249,274
DL9012,2013-04-21,222,283
WN789,2013-04-21,172,284
AS4567,2013-04-21,137,206
AA1234,2013-04-22,154,259
UA5678,2013-04-22,168,233
DL9012,2013-04-22,138,239
WN789,2013-04-22,143,221
AS4567,2013-04-22,243,297
AA1234,2013-04-23,139,243
UA5678,2013-04-23,129,280
DL9012,2013-04-23,107,282
WN789,2013-04-23,212,278
AS4567,2013-04-23,189,299
AA1234,2013-04-24,101,233
UA5678,2013-04-24,175,248
DL9012,2013-04-24,187,273
WN789,2013-04-24,235,211
AS4567,2013-04-24,168,202
AA1234,2013-04-25,121,267
UA5678,2013-04-25,238,256
DL9012,2013-04-25,100,258
WN789,2013-04-25,200,271
AS4567,2013-04-25,204,289
AA1234,2013-04-26,248,208
UA5678,2013-04-26,115,246
DL9012,2013-04-26,150,249
WN789,2013-04-26,196,235
AS4567,2013-04-26,139,269
AA1234,2013-04-27,179,241
UA5678,2013-04-27,213,274
DL9012,2013-04-27,203,203
WN789,2013-04-27,176,287
AS4567,2013-04-27,111,213
AA1234,2013-04-28,246,238
UA5678,2013-04-28,127,297
DL9012,2013-04-28,115,227
WN789,2013-04-28,110,217
AS4567,2013-04-28,248,221
AA1234,2013-04-29,130,289
UA5678,2013-04-29,161,224
DL9012,2013-04-29,237,275
WN789,2013-04-29,138,297
AS4567,2013-04-29,103,292
AA1234,2013-04-30,239,218
UA5678,2013-04-30,245,218
DL9012,2013-04-30,174,262
WN789,2013-04-30,131,265
AS4567,2013-04-30,206,291
AA1234,2013-05-01,186,240
UA5678,2013-05-01,123,243
DL9012,2013-05-01,231,290
WN789,2013-05-01,111,275
AS4567,2013-05-01,125,210
AA1234,2013-05-02,243,299
UA5678,2013-05-02,193,260
DL9012,2013-05-02,133,206
WN789,2013-05-02,120,260
AS4567,2013-05-02,139,235
AA1234,2013-05-03,182,247
UA5678,2013-05-03,187,283
DL9012,2013-05-03,167,280
WN789,2013-05-03,110,272
AS4567,2013-05-03,208,227
AA1234,2013-05-04,237,289
UA5678,2013-05-04,192,293
DL9012,2013-05-04,238,297
WN789,2013-05-04,215,241
AS4567,2013-05-04,138,270
AA1234,2013-05-05,136,214
UA5678,2013-05-05,240,259
DL9012,2013-05-05,178,237
WN789,2013-05-05,115,248
AS4567,2013-05-05,148,257
AA1234,2013-05-06,245,250
UA5678,2013-05-06,241,245
DL9012,2013-05-06,188,236
WN789,2013-05-06,117,249
AS4567,2013-05-06,117,277
AA1234,2013-05-07,228,202
UA5678,2013-05-07,138,213
DL9012,2013-05-07,217,240
WN789,2013-05-07,201,280
AS4567,2013-05-07,127,233
AA1234,2013-05-08,103,285
UA5678,2013-05-08,203,276
DL9012,2013-05-08,135,289
WN789,2013-05-08,221,277
AS4567,2013-05-08,118,265
AA1234,2013-05-09,162,291
UA5678,2013-05-09,219,271
DL9012,2013-05-09,181,263
WN789,2013-05-09,138,278
AS4567,2013-05-09,225,219
AA1234,2013-05-10,109,264
UA5678,2013-05-10,198,233
DL9012,2013-05-10,114,232
WN789,2013-05-10,140,253
AS4567,2013-05-10,249,202
AA1234,2013-05-11,113,227
UA5678,2013-05-11,223,295
DL9012,2013-05-11,113,205
WN789,2013-05-11,146,293
AS4567,2013-05-11,154,269
AA1234,2013-05-12,205,204
UA5678,2013-05-12,130,215
DL9012,2013-05-12,222,230
WN789,2013-05-12,110,216
AS4567,2013-05-12,147,300
AA1234,2013-05-13,175,231
UA5678,2013-05-13,110,266
DL9012,2013-05-13,176,243
WN789,2013-05-13,177,233
AS4567,2013-05-13,244,251
AA1234,2013-05-14,213,292
UA5678,2013-05-14,107,232
DL9012,2013-05-14,136,228
WN789,2013-05-14,186,221
AS4567,2013-05-14,172,211
AA1234,2013-05-15,207,225
UA5678,2013-05-15,150,224
DL9012,2013-05-15,176,213
WN789,2013-05-15,204,234
AS4567,2013-05-15,134,278
AA1234,2013-05-16,235,244
UA5678,2013-05-16,201,282
DL9012,2013-05-16,244,262
WN789,2013-05-16,250,241
AS4567,2013-05-16,243,255
AA1234,2013-05-17,132,203
UA5678,2013-05-17,153,270
DL9012,2013-05-17,233,297
WN789,2013-05-17,224,223
AS4567,2013-05-17,228,206
AA1234,2013-05-18,102,229
UA5678,2013-05-18,204,245
DL9012,2013-05-18,117,231
WN789,2013-05-18,236,275
AS4567,2013-05-18,229,262
AA1234,2013-05-19,198,257
UA5678,2013-05-19,190,230
DL9012,2013-05-19,120,206
WN789,2013-05-19,188,274
AS4567,2013-05-19,243,238
AA1234,2013-05-20,100,229
UA5678,2013-05-20,217,217
DL9012,2013-05-20,245,278
WN789,2013-05-20,199,272
AS4567,2013-05-20,192,222
AA1234,2013-05-21,201,219
UA5678,2013-05-21,216,219
DL9012,2013-05-21,212,293
WN789,2013-05-21,217,277
AS4567,2013-05-21,239,250
AA1234,2013-05-22,223,288
UA5678,2013-05-22,149,296
DL9012,2013-05-22,132,213
WN789,2013-05-22,136,289
AS4567,2013-05-22,158,226
AA1234,2013-05-23,139,219
UA5678,2013-05-23,110,246
DL9012,2013-05-23,157,253
WN789,2013-05-23,108,200
AS4567,2013-05-23,150,221
AA1234,2013-05-24,185,210
UA5678,2013-05-24,135,265
DL9012,2013-05-24,219,218
WN789,2013-05-24,202,283
AS4567,2013-05-24,131,218
AA1234,2013-05-25,240,263
UA5678,2013-05-25,119,226
DL9012,2013-05-25,119,280
WN789,2013-05-25,163,237
AS4567,2013-05-25,172,281
AA1234,2013-05-26,117,211
UA5678,2013-05-26,237,240
DL9012,2013-05-26,147,262
WN789,2013-05-26,110,230
AS4567,2013-05-26,238,286
AA1234,2013-05-27,150,263
UA5678,2013-05-27,112,228
DL9012,2013-05-27,167,297
WN789,2013-05-27,168,241
AS4567,2013-05-27,167,288
AA1234,2013-05-28,230,205
UA5678,2013-05-28,147,267
DL9012,2013-05-28,233,202
WN789,2013-05-28,228,254
AS4567,2013-05-28,104,223
AA1234,2013-05-29,157,207
UA5678,2013-05-29,225,254
DL9012,2013-05-29,133,200
WN789,2013-05-29,187,258
AS4567,2013-05-29,214,224
AA1234,2013-05-30,151,205
UA5678,2013-05-30,160,221
DL9012,2013-05-30,238,204
WN789,2013-05-30,151,225
AS4567,2013-05-30,123,231
AA1234,2013-05-31,226,262
UA5678,2013-05-31,167,224
DL9012,2013-05-31,150,203
WN789,2013-05-31,165,257
AS4567,2013-05-31,123,257
AA1234,2013-06-01,224,273
UA5678,2013-06-01,180,279
DL9012,2013-06-01,149,201
WN789,2013-06-01,108,207
AS4567,2013-06-01,233,258
AA1234,2013-06-02,222,281
UA5678,2013-06-02,154,264
DL9012,2013-06-02,121,234
WN789,2013-06-02,236,244
AS4567,2013-06-02,180,262
AA1234,2013-06-03,220,211
UA5678,2013-06-03,185,287
DL9012,2013-06-03,106,291
WN789,2013-06-03,176,294
AS4567,2013-06-03,183,265
AA1234,2013-06-04,150,276
UA5678,2013-06-04,158,230
DL9012,2013-06-04,203,236
WN789,2013-06-04,187,252
AS4567,2013-06-04,131,289
AA1234,2013-06-05,225,239
UA5678,2013-06-05,223,290
DL9012,2013-06-05,177,237
WN789,2013-06-05,232,233
AS4567,2013-06-05,103,215
AA1234,2013-06-06,210,257
UA5678,2013-06-06,178,227
DL9012,2013-06-06,104,265
WN789,2013-06-06,218,250
AS4567,2013-06-06,137,229
AA1234,2013-06-07,206,297
UA5678,2013-06-07,123,240
DL9012,2013-06-07,183,230
WN789,2013-06-07,140,274
AS4567,2013-06-07,181,248
AA1234,2013-06-08,185,244
UA5678,2013-06-08,117,289
DL9012,2013-06-08,152,270
WN789,2013-06-08,107,291
AS4567,2013-06-08,230,277
AA1234,2013-06-09,234,253
UA5678,2013-06-09,118,291
DL9012,2013-06-09,105,248
WN789,2013-06-09,200,239
AS4567,2013-06-09,140,265
AA1234,2013-06-10,104,217
UA5678,2013-06-10,195,262
DL9012,2013-06-10,227,210
WN789,2013-06-10,217,290
AS4567,2013-06-10,102,240
AA1234,2013-06-11,167,243
UA5678,2013-06-11,157,228
DL9012,2013-06-11,111,203
WN789,2013-06-11,107,228
AS4567,2013-06-11,192,201
AA1234,2013-06-12,189,228
UA5678,2013-06-12,198,283
DL9012,2013-06-12,188,276
WN789,2013-06-12,128,290
AS4567,2013-06-12,210,254
AA1234,2013-06-13,110,282
UA5678,2013-06-13,200,263
DL9012,2013-06-13,234,209
WN789,2013-06-13,119,270
AS4567,2013-06-13,245,297
AA1234,2013-06-14,162,294
UA5678,2013-06-14,122,262
DL9012,2013-06-14,107,214
WN789,2013-06-14,175,272
AS4567,2013-06-14,194,264
AA1234,2013-06-15,168,257
UA5678,2013-06-15,248,225
DL9012,2013-06-15,150,245
WN789,2013-06-15,230,274
AS4567,2013-06-15,112,227
AA1234,2013-06-16,171,200
UA5678,2013-06-16,191,262
DL9012,2013-06-16,104,200
WN789,2013-06-16,199,274
AS4567,2013-06-16,155,246
AA1234,2013-06-17,196,237
UA5678,2013-06-17,222,294
DL9012,2013-06-17,115,222
WN789,2013-06-17,185,296
AS4567,2013-06-17,141,298
AA1234,2013-06-18,112,224
UA5678,2013-06-18,209,237
DL9012,2013-06-18,195,205
WN789,2013-06-18,114,271
AS4567,2013-06-18,224,259
AA1234,2013-06-19,203,256
UA5678,2013-06-19,239,213
DL9012,2013-06-19,231,283
WN789,2013-06-19,139,234
AS4567,2013-06-19,113,215
AA1234,2013-06-20,200,250
UA5678,2013-06-20,162,228
DL9012,2013-06-20,215,296
WN789,2013-06-20,101,240
AS4567,2013-06-20,192,222
AA1234,2013-06-21,243,235
UA5678,2013-06-21,133,218
DL9012,2013-06-21,100,287
WN789,2013-06-21,126,285
AS4567,2013-06-21,234,291
AA1234,2013-06-22,236,263
UA5678,2013-06-22,176,288
DL9012,2013-06-22,215,241
WN789,2013-06-22,123,222
AS4567,2013-06-22,172,263
AA1234,2013-06-23,125,289
UA5678,2013-06-23,250,211
DL9012,2013-06-23,166,230
WN789,2013-06-23,219,286
AS4567,2013-06-23,188,280
AA1234,2013-06-24,198,227
UA5678,2013-06-24,243,248
DL9012,2013-06-24,222,242
WN789,2013-06-24,176,231
AS4567,2013-06-24,247,290
AA1234,2013-06-25,227,208
UA5678,2013-06-25,168,225
DL9012,2013-06-25,115,204
WN789,2013-06-25,147,248
AS4567,2013-06-25,241,233
AA1234,2013-06-26,191,272
UA5678,2013-06-26,188,261
DL9012,2013-06-26,215,263
